"cell_type","dataset","n_samples","grand_mean","mean_Young","mean_Old","mean_Dorsal","mean_Ventral","mean_Nullip","mean_Parous","log2fc_age","pct_change_age","log2fc_region","pct_change_region","log2fc_parity","pct_change_parity","age_pval","parity_pval","region_pval","age_parity_pval","age_region_pval","parity_region_pval","three_way_pval"
"28_Ntng1 HPF","mouse10x_2020",60,0.0579417632198541,0.0598109021156911,0.0560726243240171,0.0541215775771968,0.0617619488625113,0.0572553724897122,0.058284958584925,-0.0931102768332308,-6.25016119041828,-0.190511086483215,-12.3706771337848,0.0257121014758487,1.79823490869389,0.0066084800911256,0.760196217293381,5.00115130074201e-07,0.537375890259943,0.00665934248185125,0.484356215252009,0.353495531626592
"324_ProS","mouse10x_2020",60,0.018792544485778,0.0175724540920039,0.020012634879552,0.0143973549963124,0.0231877339752435,0.0181796422007278,0.019098995628303,0.187585430185832,13.8863972827706,-0.687520061956507,-37.909607675835,0.0711691468327496,5.05704907403729,0.147490837770124,0.451931171313669,2.84751207124635e-06,0.263220052302087,0.00245088530119085,0.537129884346767,0.918766906858778
"33_Sncg","mouse10x_2020",60,0.00934445417125796,0.0110478246387323,0.00764108370378363,0.0118816018512082,0.00680730649130775,0.00857389907836328,0.00972973171770529,-0.531854940797638,-30.8363053030824,0.803482877914365,74.5418965104597,0.182428603119056,13.4808286029261,0.000431397345815066,0.466652874554563,9.07286907838438e-07,0.0642105839725351,0.0355524550201349,0.467332841582924,0.489571520120263
"34_Sncg","mouse10x_2020",60,0.0169242272172821,0.00994241115886927,0.0239060432756949,0.0102395010922067,0.0236089533423575,0.0190791538360857,0.0158467639078803,1.26562294577579,140.445128386882,-1.20510887895322,-56.6287376499842,-0.267793510350841,-16.9419983505333,4.58724590918999e-11,0.187930171163267,1.59057456111332e-10,0.587990429330382,1.09974381638245e-07,0.723661167104873,0.536699100742657
"345_CA1","mouse10x_2020",60,0.0445490621257037,0.0389556433813457,0.0501424808700618,0.0392629190075809,0.0498352052438266,0.0485215208690406,0.0425628327540353,0.364192772998387,28.7168597864127,-0.343990040988615,-21.214493217233,-0.189026436762171,-12.2805056566298,8.24397510762819e-06,0.0520487193145547,2.08346617443769e-05,0.271713655881297,0.817201490111279,0.844059297354713,0.882334440466549
"356_CA3-do","mouse10x_2020",60,0.0676189296390014,0.0689448302652808,0.0662930290127221,0.0856298022851469,0.0496080569928559,0.0639129124945593,0.0694719382112225,-0.0565843672948136,-3.84626554645981,0.787526308677825,72.6126913164095,0.120321109602348,8.69781316433727,0.316923816886918,0.0101694945533665,2.97672503177953e-18,0.904488028222301,0.617847816367236,0.296259574540982,0.722919216487397
"357_CA3-do","mouse10x_2020",60,0.15787027981093,0.156634723026778,0.159105836595082,0.155706514869715,0.160034044752145,0.155747569558071,0.158931634937359,0.0225825500769285,1.57762820436767,-0.0395492890769143,-2.7041307923775,0.0291964823106038,2.04437564472019,0.410414025206674,0.206606912723694,0.152380526688595,0.186513041259256,0.202079683284428,0.394457280402968,0.417093759118537
"358_CA3-do","mouse10x_2020",60,0.111317857268801,0.108069075461833,0.114566639075768,0.116205694525846,0.106430020011755,0.111142099207877,0.111405736299263,0.0842324991289388,6.01241713799068,0.126774488073894,9.18507251338631,0.00341809376212001,0.237207226842566,0.00366587680023131,0.246682802337497,3.13716961107299e-05,0.426857687926382,0.000238563303880234,0.640065174571889,0.19108256213398
"375_Oligo","mouse10x_2020",60,0.150774818346648,0.150563234750009,0.150986401943287,0.178585256224506,0.122964380468789,0.150097908918382,0.15111327306078,0.00404906846897788,0.281056125009616,0.538368858685563,45.2333232954679,0.00972644259315381,0.676467880008986,0.927752463342843,0.96430491222736,4.9486657804614e-16,0.295046253856404,0.0126604764320028,0.878139274987467,0.745628600585974
"376_Astro","mouse10x_2020",60,0.287290370773715,0.294126553713036,0.280454187834394,0.264928666527799,0.30965207501963,0.290718918169346,0.285576097075899,-0.0686716713537533,-4.64846363106036,-0.225043368724431,-14.4431160324037,-0.0257496369227031,-1.7690011801886,0.00571686117801186,0.0215943481269758,1.48874054543238e-12,0.707130238209788,0.423341096576381,0.714571952949691,0.846727819178248
"379_Endo","mouse10x_2020",60,0.0449187969668587,0.0451860519245923,0.044651542009125,0.0423638245930313,0.047473769340686,0.0453425357646042,0.0447069275679859,-0.0171671279799351,-1.182909089644,-0.164294095208728,-10.763722406334,-0.020366221439059,-1.40179234773749,0.573702313607657,0.523314790329325,1.93143525746715e-06,0.736605562175504,0.149391728606547,0.417342193098793,0.320951080632917
"386_Micro-PVM","mouse10x_2020",60,0.0145278556847519,0.0179089170885558,0.011146794280948,0.0128394888697456,0.0162162224997582,0.0139962778557467,0.0147936445992545,-0.684000373976369,-37.7584126062485,-0.33682662188,-20.8231826497383,0.0799287562639093,5.69699138389385,7.29602656383847e-10,0.382148309374186,0.000379095058402729,0.342674268085054,0.00301253353832958,0.413330936838195,0.479947723234598
"78_Sst HPF","mouse10x_2020",60,0.0164401951244265,0.0201132957726893,0.0127670944761636,0.0135633145488239,0.0193170757000291,0.0156026581528411,0.0168589636102192,-0.655677996461092,-36.5241051469082,-0.510135247352043,-29.785880847361,0.111717125382327,8.05186811805703,1.74927226275147e-11,0.028671132145071,1.28843825856687e-08,0.959669064372171,0.00308421208268922,0.473144373566832,0.874272663966352
"336_CA1-ve","mouse_smartseq_2019",60,0.0348355395256474,0.0407606138700079,0.0289104651812868,0.00780376350081645,0.0618673155504783,0.0306249720708047,0.0369408232530687,-0.495569449228498,-29.0725471567065,-2.98677393356676,-87.3862904323863,0.27049943577861,20.6232063417454,0.0042355533316419,0.278551011206959,3.30284126634521e-18,0.701705846609343,0.0564561855128732,0.981242578891578,0.701796481272446
"344_CA1","mouse_smartseq_2019",60,0.160835123666709,0.143919499663966,0.177750747669453,0.163348745989077,0.158321501344342,0.170581174888495,0.155962098055816,0.304591644140743,23.5070633822927,0.0450979004865065,3.17533916874704,-0.129262181166879,-8.5701583672613,0.000245413122370289,0.150442926657391,0.558743434323409,0.403777116931456,0.00640576842434084,0.73320332171391,0.895891886082592
"354_CA3-ve","mouse_smartseq_2019",60,0.145346930700267,0.154652043349697,0.136041818050837,0.114107537384316,0.176586324016218,0.152885864613538,0.141577463743632,-0.184974427783886,-12.0336109990985,-0.629975050224081,-35.3814413318687,-0.110862635764915,-7.3966294388893,0.000895556048324381,0.135724833746609,6.49224583717524e-16,0.143197032752236,0.0534480585323729,0.920308192655778,0.212933731857462
"358_CA3-do","mouse_smartseq_2019",60,0.636626115532009,0.640194075329983,0.633058155734035,0.691363272854143,0.581888958209875,0.618670138714434,0.645604103940796,-0.016171261563835,-1.11464942756143,0.248699702958074,18.8136092118084,0.0614792509795721,4.3535259811196,0.406781158980675,0.00861923984531888,3.87145366190218e-17,0.187926638548142,0.598326693246096,0.724126962921549,0.452241021566373
"64_Sst Chodl","mouse_smartseq_2019",60,0.0161509783044859,0.0165658669261731,0.0157360896827988,0.0127270953846145,0.0195748612243573,0.0162255459959219,0.0161136944587679,-0.0741320277269595,-5.00895755756234,-0.621059226717848,-34.9824489750252,-0.00997910402206041,-0.68935453501602,0.307862434344871,0.30238429663613,3.83218919926063e-11,0.305140205319022,0.193240843927493,0.46938825155624,0.953467679371145
"271_NP SUB","yao_hippo_10x",60,0.0052185281509982,0.00693155593686158,0.00350550036513481,0,0.0104370563019964,0.00545237101886142,0.00510160671706658,-0.983355473775903,-49.4269339082619,-13.349565468417,-100,-0.0959138618037561,-6.43324345649702,0.0167332349116038,0.38993842679557,1.05161695104508e-09,0.581042953307392,0.0167332349116039,0.389938426795572,0.581042953307391
"318_SUB","yao_hippo_10x",60,0.0220318035254954,0.0240732955442451,0.0199903115067456,0.0172759621072424,0.0267876449437484,0.0228953167649175,0.0216000469057844,-0.268120461402651,-16.9606360292268,-0.632772043172106,-35.5077232674975,-0.084014301610667,-5.65735723350133,0.0475150180324275,0.827973134181157,1.95548660462891e-05,0.831438241046298,0.0426267916286847,0.501827733481829,0.580009805462561
"324_ProS","yao_hippo_10x",60,0.0905385377094245,0.0789349814334653,0.102142093985384,0.0848655925070009,0.0962114829118481,0.0921515157457984,0.0897320486912375,0.371836685277951,29.4002888585967,-0.181027333232723,-11.7926572395133,-0.0383841239377861,-2.62553147930312,1.55365407748203e-07,0.779563440602334,0.00427320731901935,0.421567093982264,0.242263688860258,0.881585821210662,0.621758160221746
"329_CA1-ProS","yao_hippo_10x",60,0.0513159160545024,0.0517791366180906,0.0508526954909142,0.0563155058175099,0.0463163262914949,0.0510177199729832,0.051465014095262,-0.0260461544844273,-1.78921702385569,0.28200584921336,21.58888738948,0.0125933509102988,0.876742673948548,0.877946470433498,0.931226426527692,0.102149100523009,0.750430185173571,0.147610234118598,0.896662884648924,0.710123388708862
"345_CA1","yao_hippo_10x",60,0.121585825583583,0.128976057606123,0.114195593561042,0.109239143084391,0.133932508082774,0.122908889219538,0.120924293765605,-0.175594846057593,-11.4598510137583,-0.294013836823505,-18.4371705957465,-0.0234849557822296,-1.61468830003629,2.3390153182628e-05,0.688261945031289,4.03242924357883e-10,0.296462777352795,7.81732021292869e-05,0.313051582185483,0.760320237956412
"352_CA3-ve","yao_hippo_10x",60,0.0310584111660852,0.0329774299825026,0.0291393923496678,0,0.0621168223321704,0.0287356200801603,0.0322198067090476,-0.178502415293241,-11.6383770198928,-15.9227196335237,-100,0.165102229035043,12.1249745756937,0.183827287942274,0.360543322553751,1.44041870429476e-26,0.451889607233301,0.183827287942275,0.36054332255375,0.451889607233302
"356_CA3-do","yao_hippo_10x",60,0.163277616391137,0.1688849941152,0.157670238667075,0.19479556140986,0.131759671372415,0.15901372960901,0.165409559782201,-0.0991301716073015,-6.64046886277852,0.564048399592768,47.8415659213935,0.0568909296389637,4.02218738527685,0.016355992841002,0.20815327874248,1.48952073368738e-18,0.993813881354727,0.138948947556008,0.211902262233302,0.84466182959232
"357_CA3-do","yao_hippo_10x",60,0.36032088343478,0.360463616106816,0.360178150762743,0.371554568991936,0.349087197877624,0.362684569414086,0.359139040445127,-0.00114297653491251,-0.0791939411684375,0.0899864105681556,6.43603410577901,-0.0141728365646786,-0.977579215649438,0.934836963722794,0.548767946299743,4.80256174586253e-08,0.721579823619052,0.469637097568815,0.471356836687235,0.47285850401008
"358_CA3-do","yao_hippo_10x",60,0.154122570338725,0.146274298419572,0.161970842257878,0.16595366608206,0.14229147459539,0.154063150817141,0.154152280099517,0.14705687040466,10.7308966837652,0.221929829428696,16.6293810321059,0.00083438744449327,0.0578524338252184,6.72303296064172e-05,0.95219325999134,3.23149864331618e-08,0.896860992105373,0.0307925644851021,0.536132986146717,0.485837882868894
